コード,短縮,内容
"000",バン,バンテージ腕節まで
"001",蹄汚,蹄汚い
"002",球腫,球節腫れる
"003",繋巻,交突バ繋部分
"004",交突,交突防止帯
"005",蹄浮,蹄鉄浮く
"006",裂蹄,蹄冠部全面裂蹄防止テープ
"007",保護,蹄壁部裂蹄防止テープ
"008",ブー,ブーツ
"009",バ外,バンテージ外す
"010",バ巻,バンテージ巻く（変更）
"011",ソ焼,ソエ焼き
"012",半鉄,半鉄
"013",丸鉄,連尾鉄
"014",曲鉄,曲鉄
"015",鉄橋,鉄橋
"017",J鉄,四分の三鉄
"018",脚腫,脚腫れる
"019",繋傷,繋ぎキズ
"020",ソ傷,ソエ傷
"021",アダ,アダプターパッド
"022",調バ,調教バンテージ
"023",球傷,左前球節キズ
"024",巻跡,バンテージ巻き跡
"025",交蹄,交突蹄冠部分
"026",蹄傷,蹄冠部キズ
"027",裏腫,裏筋腫れる
"028",骨大,骨瘤
"029",骨小,骨瘤腫れ小
"030",ソ大,ソエ腫れる
"031",ソ小,ソエ腫れ小
"032",膝焼,膝焼く
"033",膝傷,膝キズ
"034",膝焼,膝裏焼く
"035",エク,エクイロックス
"036",裏傷,裏筋傷
"037",骨焼,骨瘤焼く
"038",ブリ,水ブリスター
"040",裸足,裸足
"041",追防パ,追突防止パッド
"042",新エク,新エクイロックス
"043",蹄欠損,蹄欠損
"045",スプ鉄,スプーンヒール鉄
"046",柿元鉄,柿元鉄
"047",飛節焼,飛節焼き治療
"048",蹄線,蹄切り込み線
"049",蹄捻,着地時に蹄をひねる
"050",踵浮,着地時に蹄踵が浮く
"051",球沈,着地時に球節が沈む
"052",横唇,鉄唇横
"053",無唇,鉄唇なし
"054",３唇,鉄唇３つ
"055",内歩,内に入る歩様
"056",後高,高く上げて歩く
"057",球バ,球節バンテージ
"058",交踵,蹄踵部交突防止帯
"059",繋腫,繋腫れ
"060",繋弾,繋弾く
"061",２踏,２度踏み
"062",球剃,球節の毛剃る
"063",繋剃,繋の毛剃る
"064",飛傷,飛節傷
"065",球瘤,球節に小さい瘤
"066",裏瘤,裏筋に小さい瘤
"067",繋瘤,繋に小さい瘤
"068",管透,管骨に透明の巻物
"069",繋透,繋に透明の巻物
"070",球透,球節に透明の巻物
"071",球焼,球節焼き治療
"072",裏イ,裏筋イボ
"073",飛傾,着地時に飛節傾く
"074",肘腫,肘腫（髄液溜まる）
"075",球髄,球節腫れ（髄液溜まる）
"076",ヒＰ,ヒールパッド
"077",リ鉄,リバーシブル鉄
"078",脇腫,脇の肘腫
"079",裏剃,裏筋の毛を剃る
"080",外歩,外に振って歩く
"081",亀裂,蹄亀裂
"082",蹄Ｐ,蹄底パッド
"083",シ鉄,シガフース蹄鉄
"084",唇削,唇削
"085",脚皮,脚皮膚病
"100",歩様悪,痛そうな歩様
"101",躓く,周回中躓く
"102",蹄汚い,蹄汚い
"103",裏筋腫,裏筋腫れる
"104",トモ流,トモ流れる
"105",骨瘤,骨瘤
"106",前腫大,前脚腫れ大
"107",前腫小,前脚腫れ小
"108",前バ外,両前バンテージ外す（変更）
"109",前バ巻,両前バンテージ巻く（変更）
"110",後脚腫,後脚腫れる
"111",ソエ腫,ソエ腫れる
"112",膝焼く,膝焼く
"113",脚不安,脚部不安
"114",後浅い,後肢踏み込み甘い
"115",膝震る,着地時に膝が震える
"116",飛ブレ,着地時に飛節がブレる
"117",膝硬い,膝硬い
"118",後肢躓,後肢躓く
"119",交差,交差する歩様
"120",肩窮,肩の出窮屈
