code,name_short,name,category
"001",ブ,ブリンカー,その他馬具
"002",鼻,シャドーロール,その他馬具
"003",Ｒ,リングハミ,ハミ
"004",Ｄ,Dハミ,ハミ
"005",Ｅ,エッグハミ,ハミ
"006",枝,枝ハミ,ハミ
"007",バ,バンテージ,バンテージ
"008",面,メンコ,その他馬具
"009",Ｇ,ガムチェーン,その他馬具
"010",Ｈ,ハートハミ,ハミ
"011",吊,ハミ吊,その他馬具
"012",ビ,ビットガード,その他馬具
"013",ノ,ノートンハミ,ハミ
"014",ジ,ジョウハミ,ハミ
"015",ス,スライド,ハミ
"016",テ,てこハミ,ハミ
"017",痛,イタイタ,その他馬具
"018",Ｎ,ノーズバンド,その他馬具
"019",Ｃ,チェーンシャンク,その他馬具
"020",Ｐ,パドックブリンカー,その他馬具
"021",舌,舌くくる,その他馬具
"022",口,上唇くくる,その他馬具
"023",馬,馬気,馬状態
"024",下,下痢,馬状態
"025",汗,二度汗,馬状態
"026",頭,頭高い,馬状態
"028",艶,毛艶良い,馬状態
"030",毛,毛艶悪い,馬状態
"031",ミ,ミックレム頭絡,その他馬具
"032",引,引き返し,その他馬具
"036",レ,レバーノーズバンド,その他馬具
"037",保,保護テープ,蹄状態
"038",キ,キネトンノーズバンド,その他馬具
"039",ア,アダプターパッド,その他馬具
"040",ポ,ノーマルハミポチつき,ハミ
"041",皮,皮膚病,馬状態
"042",玉,玉腫れる,馬状態
"043",発,フケ,馬状態
"044",Ｔ,スリーリングハミ,ハミ
"045",焼,ソエ焼く,ソエ状態
"047",半,半鉄,蹄鉄
"048",丸,連尾鉄,蹄鉄
"049",曲,四分の三蹄鉄（曲）,蹄鉄
"050",橋,鉄橋鉄,蹄鉄
"054",J,四分の三蹄鉄,蹄鉄
"055",黒,目の下黒い,馬状態
"056",エ,エクイロックス,蹄状態
"061",骨,骨瘤大,骨瘤
"062",小,骨瘤小,骨瘤
"063",腫,ソエ腫れ大,ソエ状態
"064",小,ソエ腫れ小,ソエ状態
"067",サ,サイテーションハミ,ハミ
"068",ネ,ネックストラップ,その他馬具
"069",網,ホライゾネット（レース）,その他馬具
"070",網,ホライゾネット（パドック）,その他馬具
"071",ゴ,ハナゴム,その他馬具
"072",ユ,ユニバーサルハミ,ハミ
"073",裸,蹄鉄なし,蹄鉄
"074",ち,チークピース,その他馬具
"075",追,追突防止パッド,蹄状態
"076",新,新エクイロックス,蹄状態
"077",ス,スプーンヒール鉄,蹄鉄
"078",柿,柿元鉄,蹄鉄
"079",耳,耳当て,その他馬具
"080",剃,体毛剃る,ソエ状態
"081",プ,プラスチックカップ,その他馬具
"082",マ,マウスネット,その他馬具
"083",ｂ,ブロウピース,その他馬具
"084",ひ,ヒールパッド,蹄状態
"085",り,リバーシブル鉄,蹄鉄
"087",歯,歯ぎしり,馬状態
"088",リ,リーグルハミ,ハミ
"089",ほ,ホートンハミ,ハミ
"090",ト,トライアハミ,ハミ
"091",シ,シガフース蹄鉄,蹄状態
"092",ぴ,ピーウィーハミ,ハミ
"094",裂,裂蹄,蹄状態
"095",ぱ,蹄底パッド,蹄状態
"096",あ,アイシールド,その他馬具
"097",ｅ,ｅ（ＨＳ社ハミ）,ハミ
"098",タ,タンプレートハミ,ハミ
"099",栓,耳栓,その他馬具
