code,sublineage_name,lineage_name
"1101",ノーザンダンサー系,ノーザンダンサー系
"1102",ニジンスキー系,ノーザンダンサー系
"1103",ヴァイスリージェント系,ノーザンダンサー系
"1104",リファール系,ノーザンダンサー系
"1105",ノーザンテースト系,ノーザンダンサー系
"1106",ダンジグ系,ノーザンダンサー系
"1107",ヌレイエフ系,ノーザンダンサー系
"1108",ストームバード系,ノーザンダンサー系
"1109",サドラーズウェルズ系,ノーザンダンサー系
"1201",ロイヤルチャージャー系,ロイヤルチャージャー系
"1202",ターントゥ系,ロイヤルチャージャー系
"1203",ヘイルトゥリーズン系,ロイヤルチャージャー系
"1204",サーゲイロード系,ロイヤルチャージャー系
"1205",ハビタット系,ロイヤルチャージャー系
"1206",ヘイロー系,ロイヤルチャージャー系
"1207",ロベルト系,ロイヤルチャージャー系
"1301",ナスルーラ系,ナスルーラ系
"1302",グレイソヴリン系,ナスルーラ系
"1303",ネヴァーベンド系,ナスルーラ系
"1304",プリンスリーギフト系,ナスルーラ系
"1305",ボールドルーラー系,ナスルーラ系
"1306",レッドゴッド系,ナスルーラ系
"1307",ゼダーン系,ナスルーラ系
"1308",カロ系,ナスルーラ系
"1309",ミルリーフ系,ナスルーラ系
"1310",リヴァーマン系,ナスルーラ系
"1311",シアトルスルー系,ナスルーラ系
"1312",ブラッシンググルーム系,ナスルーラ系
"1401",ネアルコ系,ネアルコ系
"1402",ニアークティック系,ネアルコ系
"1403",デリングドゥ系,ネアルコ系
"1501",ネイティヴダンサー系,ネイティヴダンサー系
"1502",シャーペンアップ系,ネイティヴダンサー系
"1503",ミスタープロスペクター系,ネイティヴダンサー系
"1601",フェアウェイ系,フェアウェイ系
"1602",バックパサー系,フェアウェイ系
"1603",ファラリス系,フェアウェイ系
"1701",ダマスカス系,ダマスカス系
"1702",テディ系,ダマスカス系
"1801",ハイペリオン系,ハイペリオン系
"1802",オリオール系,ハイペリオン系
"1803",ロックフェラ系,ハイペリオン系
"1804",テューダーミンストレル系,ハイペリオン系
"1805",オーエンテューダー系,ハイペリオン系
"1806",スターキングダム系,ハイペリオン系
"1807",フォルリ系,ハイペリオン系
"1901",エクリプス系,エクリプス系
"1902",ブランドフォード系,エクリプス系
"1903",ドンカスター系,エクリプス系
"1904",ドミノ系,エクリプス系
"1905",ヒムヤー系,エクリプス系
"1906",エルバジェ系,エクリプス系
"1907",ダークロナルド系,エクリプス系
"1908",ファイントップ系,エクリプス系
"1909",ゲインズボロー系,エクリプス系
"1910",ハーミット系,エクリプス系
"1911",アイシングラス系,エクリプス系
"1912",コングリーヴ系,エクリプス系
"1913",ロックサンド系,エクリプス系
"2001",セントサイモン系,セントサイモン系
"2002",リボー系,セントサイモン系
"2003",ヒズマジェスティ系,セントサイモン系
"2004",グロースターク系,セントサイモン系
"2005",トムロルフ系,セントサイモン系
"2006",ワイルドリスク系,セントサイモン系
"2007",チャウサー系,セントサイモン系
"2008",プリンスローズ系,セントサイモン系
"2009",プリンスキロ系,セントサイモン系
"2010",ラウンドテーブル系,セントサイモン系
"2101",マッチェム系,マッチェム系
"2102",フェアプレイ系,マッチェム系
"2103",ハリーオン系,マッチェム系
"2104",マンノウォー系,マッチェム系
"2105",インリアリティ系,マッチェム系
"2201",パーソロン系,パーソロン系
"2202",リュティエ系,パーソロン系
"2203",ジェベル系,パーソロン系
"2204",トウルビヨン系,パーソロン系
"2205",ザテトラーク系,パーソロン系
"2206",ヘロド系,パーソロン系
"2301",サンドリッジ系,サンドリッジ系
"2401",スウィンフォード系,スウィンフォード系
"9901",アラ系,アラ系
