code,name
"01",札幌
"02",函館
"03",福島
"04",新潟
"05",東京
"06",中山
"07",中京
"08",京都
"09",阪神
"10",小倉
"21",旭川
"22",札幌
"23",門別
"24",函館
"25",盛岡
"26",水沢
"27",上山
"28",新潟
"29",三条
"30",足利
"31",宇都
"32",高崎
"33",浦和
"34",船橋
"35",大井
"36",川崎
"37",金沢
"38",笠松
"39",名古
"40",中京
"41",園田
"42",姫路
"43",益田
"44",福山
"45",高知
"46",佐賀
"47",荒尾
"48",中津
"61",英国
"62",アイルランド
"63",仏国
"64",伊国
"65",独国
"66",米国
"67",カナダ
"68",アラブ首長国連邦
"69",オーストラリア
"70",ニュージーランド
"71",香港
"72",チリ
"73",シンガポール
"74",スウェーデン
"75",マカ
"76",オーストリア
"77",トルコ
"78",カタール
"79",韓国
