コード,短縮,内容
"033",口向悪い,口向き悪い
"034",放馬,放馬
"035",Ｒ中落鉄,落鉄
"037",揉れ弱い,揉まれ弱い
"038",芝向き,芝向き
"039",ダ向き,ダート向き
"040",心房細動,心房細動
"041",喉鳴り,喉鳴り
"042",熱発,熱発
"043",鼻出血,鼻出血
"044",ソエ,ソエ
"045",恐がり,恐がり
"046",脚腫れる,脚腫れる
"047",コズミ,コズミ
"048",腰フラ,腰フラ
"049",気悪,気悪
"050",素直,素直
"051",根性有り,根性有り
"052",ハミ悪,ハミ悪
"053",Ｒ中頭高,頭高い(レース中)
"054",内枠×,内枠×
"055",外枠×,外枠×
"056",内枠○,内枠○
"057",外枠○,外枠○
"058",スタ良い,スタート良い
"059",スタ悪い,スタート悪い
"060",内もたれ,内もたれ
"061",外もたれ,外もたれ
"062",ハナ条件,ハナ条件
"063",ダ重い○,ダ重い○
"064",ダ重い×,ダ重い×
"065",ダ軽い○,ダ軽い○
"066",ダ軽い×,ダ軽い×
"067",ダ少掛○,ダ少し掛○
"068",ダ少掛×,ダ少し掛×
"069",芝重い○,芝重い○
"070",芝重い×,芝重い×
"071",芝軽い○,芝軽い○
"072",芝軽い×,芝軽い×
"073",芝滑る○,芝滑る○
"074",芝滑る×,芝滑る×
"075",芝少掛○,芝少し掛○
"076",芝少掛×,芝少し掛×
"077",雨嫌い,雨嫌い
"078",ズブイ,ズブイ
"079",シブトイ,シブトイ
"080",折合○,折り合い○
"081",折合×,折り合い×
"082",先行力○,先行力○
"083",先行力×,先行力×
"084",瞬発力○,瞬発力○
"085",瞬発力×,瞬発力×
"086",調教良い,調教良い
"087",大トビ,大トビ
"088",調教ダメ,調教出来ず
"089",右回り○,右回り○
"090",左回り○,左回り○
"091",トモ甘い,トモ甘い
"092",馬込み×,馬込み×
"093",骨膜炎,骨膜炎
"094",裂蹄,裂蹄
"095",ゴトゴト,ゴトゴト
"096",物見,物見
"097",鐙外れ,鐙外れ
"098",ソラ使う,ソラ使う
"099",左回り×,左回り×
"100",右回り×,右回り×
"101",ダート×,ダート×
"102",芝×,芝×
"103",左モタレ,左モタレ
"104",右モタレ,右モタレ
"105",センス○,センスある
"106",落馬,落馬
"107",輸送ダメ,輸送ダメ
"108",馬込ダメ,馬込ダメ
"109",冬ダメ,冬ダメ
"110",外逃解消,外逃解消
"111",鞍ズレ,鞍ズレ
"112",ジリ脚,ジリ脚
"113",口向解消,口向解消
"114",ロカ向き,ローカル向
"115",外逃げる,外逃げる
"116",恐い解消,恐い解消
"117",ソエ解消,ソエ解消
"118",モタレ消,モタレ解消
"119",コーナ×,コーナーワーク×
"120",小回向き,小回り向き
"121",外枠発走,外枠発走
"122",冬○,冬○
"123",追甘い,追って甘い
"124",坂○,坂○
"125",体質弱い,体質弱い
"126",走る気×,走る気ない
"127",素質あり,素質あり
"128",鉄砲○,鉄砲○
"129",気小さい,気が小さい
"130",終い甘い,終い甘い
"131",他馬気に,他馬気にする
"132",輸送熱,輸送熱
"133",パド転倒,パドック転倒
"134",ゲト転倒,ゲート内転倒
"135",ハミ外す,ハミ外す
"136",腰悪い,腰悪い
"137",ソエ焼き,ソエ焼き
"138",筋肉痛,筋肉痛
"140",ゲート○,ゲート良い
"141",ゲート×,ゲート悪い
"142",気が強い,気が強い
"143",斤量泣き,斤量泣き
"144",器用さ欠,器用さ欠く
"145",使込×,使い込む×
"146",手前替×,手前替え×
"147",小回り×,小回り×
"148",追って甘,追って甘い
"149",後方から,後方から
"150",終い確実,お終い確実
"151",展開待ち,展開待ち
"152",砂被る○,砂被る○
"153",砂被る×,砂被る×
"154",コーナ○,コーナーワーク○
"155",坂×,坂×
"156",ふらつく,ふらつく
"157",ダッシ○,ダッシュ○
"158",ダッシ×,ダッシュ×
"159",フワフワ,フワフワ
"160",中山向き,中山向き
"161",府中向き,府中向き
"162",腰甘い,腰甘い
"163",怯む,怯む
"164",足元弱い,足元弱い
"165",馬気,馬気
"166",歩様悪い,歩様悪い
"167",気難しい,気難しい
"168",小頭数○,小頭数○
"169",ノメル,ノメル
"170",トウ骨,トウ骨
"171",追頭上る,追って頭上げる
"172",砂被頭上,砂被頭上げる
"173",広馬場向,広いコース向き
"174",ラチ接触,ラチ接触
"175",エビ,エビ
"176",フケ,フケ
"177",追って○,追ってしっかり
"178",トモ落す,トモ落とす
"179",外被る×,外被せられる×
"180",泥被る○,泥被る○
"181",泥被る×,泥被る×
