コード,調教コース,調教コース短縮
"01",美浦坂路,美坂
"02",南Ｗ,南Ｗ
"03",南Ｄ,南Ｄ
"04",南芝,南芝
"05",南Ａ,南Ａ
"06",北Ｂ,北Ｂ
"07",北Ｃ,北Ｃ
"08",美浦障害芝,美障
"09",美浦プール,美プ
"10",南ポリトラック,南Ｐ
"11",栗東坂路,栗坂
"12",ＣＷ,ＣＷ
"13",ＤＷ,ＤＷ
"14",栗Ｂ,栗Ｂ
"15",栗Ｅ,栗Ｅ
"16",栗芝,栗芝
"17",栗ポリトラック,栗Ｐ
"18",栗東障害,栗障
"19",栗東プール,栗プ
"21",札幌ダ,札ダ
"22",札幌芝,札芝
"23",函館ダ,函ダ
"24",函館芝,函芝
"25",函館Ｗ,函Ｗ
"26",福島芝,福芝
"27",福島ダ,福ダ
"28",新潟芝,新芝
"29",新潟ダ,新ダ
"30",東京芝,東芝
"31",東京ダ,東ダ
"32",中山芝,中芝
"33",中山ダ,中ダ
"34",中京芝,名芝
"35",中京ダ,名ダ
"36",京都芝,京芝
"37",京都ダ,京ダ
"38",阪神芝,阪芝
"39",阪神ダ,阪ダ
"40",小倉芝,小芝
"41",小倉ダ,小ダ
"42",福島障害,福障
"43",新潟障害,新障
"44",東京障害,東障
"45",中山障害,中障
"46",中京障害,名障
"47",京都障害,京障
"48",阪神障害,阪障
"49",小倉障害,小障
"50",地方競馬,地方
"61",障害試験,障試
"62",北障害,北障
"68",美障害ダ,美障
"70",北A,北Ａ
"81",美ゲート,美ゲ
"82",栗ゲート,栗ゲ
"88",牧場,牧場
"93",白井ダ,白井
"A1",連闘,連闘
"B1",その他,他
